fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241113.003120	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.150003806921835	0.697056534785021	916	734	3136	1	11977436.4089776	11977436.4089776	22
20241113.003208	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	14	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.126607379356361	0.650214099489431	886	736	3039	1	11893773.0673317	11893773.0673317	23
20241113.003255	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0835770803536345	0.72935121739799	926	733	3176	1	11651850.3740648	11651850.3740648	24
20241113.003342	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.299615485544945	0.517826162701806	1083	740	3831	1	10268596.0099751	10268596.0099751	25
20241113.003431	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.18637187037346	0.836071282683226	365	456	3400	1	12011371.5710723	12011371.5710723	26
20241113.003519	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	14	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.160355582853682	0.79601480403643	758	629	2523	1	11887458.8528678	11887458.8528678	27
20241113.003606	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	142	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.173499845170289	0.890853413680035	9	423	3752	1	10321855.361596	10321855.361596	28
20241113.003654	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.233365516994161	0.81481470660661	562	453	2664	1	11609296.7581047	11609296.7581047	29
20241113.003741	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.260741476250073	0.771239470604641	906	690	2904	1	11659870.3241895	11659870.3241895	30
20241113.003828	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.183602912844803	0.832458206068136	206	660	3909	1	10268012.4688279	10268012.4688279	31
20241113.003916	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.172496099489529	0.763828603435377	782	657	3044	1	11108798.0049875	11108798.0049875	32
20241113.004004	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.166487879042988	0.704979494291969	889	733	2754	1	11941092.2693267	11941092.2693267	33
20241113.004051	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.180436691876322	0.699621078688281	902	735	2856	1	11877187.032419	11877187.032419	34
20241113.004140	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	18	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0708199389579024	0.680907319030241	601	550	2721	1	11858446.3840399	11858446.3840399	35
20241113.004228	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	18	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0708199389579024	0.680907319030241	601	550	2721	1	11858446.3840399	11858446.3840399	36
20241113.004314	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.100958347835386	0.755231010018021	1943	1761	2644	1	11565456.3591022	11565456.3591022	37
20241113.004400	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	15	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0856539067633945	0.890506670998919	24	1307	2538	1	11031785.5361596	11031785.5361596	38
20241113.004448	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.201013960893188	0.657693885672448	1316	792	2894	1	12020842.8927681	12020842.8927681	39
20241113.004535	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.238445140074563	0.573493615104321	1458	586	2788	1	11650264.3391521	11650264.3391521	40
20241113.004624	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	31	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.28236867004322	0.689911536871269	431	271	3412	1	10028438.9027431	10028438.9027431	41
20241113.004711	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	36	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0892884205138756	0.582752067613422	37	642	3239	1	11627438.9027431	11627438.9027431	42
20241113.004800	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.191462322752607	0.583049586578532	1375	501	2880	1	11038503.7406484	11038503.7406484	43
20241113.004846	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.2525663182626	0.518700971033751	653	1176	2215	1	11462431.4214464	11462431.4214464	44
20241113.004933	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.245375506689424	0.515827265285717	1094	1676	2499	1	11348087.2817955	11348087.2817955	45
20241113.005019	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.294022626742056	0.667606423081955	715	1974	2224	1	11311840.3990025	11311840.3990025	46
20241113.005104	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.214419594643843	0.838086576488532	10	450	2572	1	11047391.521197	11047391.521197	47
20241113.005154	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0466159033044193	0.81387970419192	1309	459	2521	1	11280291.7705736	11280291.7705736	48
20241113.005246	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	77	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.243451894023519	0.531138655827297	1564	155	2818	1	11063206.9825436	11063206.9825436	49
20241113.005334	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0814920301665324	0.506793355106054	111	1068	2202	1	11492453.8653367	11492453.8653367	50
20241113.005422	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.226905049183792	0.756393653274689	811	393	2651	1	12091488.7780549	12091488.7780549	51
20241113.005520	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.188411744819276	0.690362041158667	1070	790	3045	1	11715374.0648379	11715374.0648379	52
20241113.005607	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	14	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.133546559840312	0.704065637212206	861	745	3026	1	12241002.4937656	12241002.4937656	53
20241113.005705	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	14	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.127136964701969	0.702794482020027	856	742	2795	1	12148167.0822943	12148167.0822943	54
20241113.005755	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.181434636383871	0.824390535078297	828	311	3385	1	10513728.1795511	10513728.1795511	55
20241113.005842	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.273371242412322	0.785799755957099	1051	588	2868	1	11690364.0897756	11690364.0897756	56
20241113.005930	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0961627541817764	0.705879037140505	848	759	3436	1	11256389.0274314	11256389.0274314	57
20241113.010019	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.108015486213857	0.745683569651326	645	423	2931	1	11889194.5137157	11889194.5137157	58
20241113.010108	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	14	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.141131369182143	0.68991164548117	1345	731	3017	1	11689249.3765586	11689249.3765586	59
20241113.010156	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	35	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0447290559111207	0.684338412882973	708	744	3008	1	11034553.6159601	11034553.6159601	60
20241113.010244	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.213543255456719	0.633823839380128	752	570	2415	1	11134451.3715711	11134451.3715711	61
20241113.010332	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	14	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.134885449321019	0.702485589480289	720	700	2871	1	11465902.7431421	11465902.7431421	62
20241113.010419	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.229545016377993	0.736245881714844	1164	838	2956	1	11595142.1446384	11595142.1446384	63
20241113.010507	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.21383646727315	0.7390717363369	1736	744	2422	1	12277840.3990025	12277840.3990025	64
20241113.010604	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.220098152991312	0.743031628273772	1463	746	3005	1	11898815.4613466	11898815.4613466	65
20241113.010651	54	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.209647579296973	0.729740894674028	1492	744	2805	1	11864700.7481297	11864700.7481297	66
