fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241028.133639	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.112324474781549	0.533390892659245	564	1700	2648	1	11661187.032419	11661187.032419	22
20241028.133703	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.282925147791205	0.517620455799032	835	1862	2409	1	11489708.2294264	11489708.2294264	23
20241028.133730	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.184457303405513	0.729321450596472	299	434	2060	1	12434663.3416459	12434663.3416459	24
20241028.133753	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.189387630681578	0.74837850524044	303	413	2130	1	12060673.3167082	12060673.3167082	25
20241028.133828	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	200	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.189152417824027	0.730688303675483	271	335	2197	1	11986256.8578554	11986256.8578554	26
20241028.133853	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.190019863953474	0.764210512377435	122	435	1879	1	12087089.7755611	12087089.7755611	27
20241028.133918	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.190418058301323	0.753463620881775	135	381	2549	1	11874995.0124688	11874995.0124688	28
20241028.133944	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	27	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.185147338943907	0.803595185930964	353	467	2502	1	12150059.8503741	12150059.8503741	29
20241028.134006	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.189850408764024	0.780359302240601	234	437	2235	1	12132905.2369077	12132905.2369077	30
20241028.134021	627	60505	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.189168082263906	0.830500746228939	16	494	1900	1	11519551.1221945	11519551.1221945	31
