Feature	Gain	Cover	Frequency
ctrx_quarter	0.344757610937409	0.0744097051678703	0.0278592375366569
mcaja_ahorro	0.11903109507293	0.0251169017062773	0.0249266862170088
cpayroll_trx	0.0919983812290481	0.0772434286669201	0.0190615835777126
mpayroll	0.0508296834507312	0.0882095856215565	0.0454545454545455
mtarjeta_visa_consumo	0.0488222042747129	0.0464556171184692	0.0249266862170088
ctarjeta_visa_transacciones	0.0480524941768411	0.0371415719010981	0.0293255131964809
mprestamos_personales	0.0292387243911639	0.0228553294119789	0.0146627565982405
PC4	0.0268926426151978	0.0144529058232638	0.0219941348973607
mcuentas_saldo	0.0252262102997916	0.0319840566190645	0.0337243401759531
PC12	0.0224134052887161	0.015564590475682	0.0263929618768328
PC1	0.0184182875320353	0.0208186185731988	0.0263929618768328
mrentabilidad_annual	0.0172539923770997	0.0244840948779063	0.0351906158357771
foto_mes	0.0163534809730275	0.0260835937261755	0.0263929618768328
mcuenta_corriente	0.0157711525026857	0.00240466594781002	0.00586510263929619
PC3	0.0133301140635131	0.0343014812371379	0.0234604105571848
Visa_msaldototal	0.0132852849434778	0.0168771200843951	0.0219941348973607
mpasivos_margen	0.00924496160229824	0.00883695466768482	0.0161290322580645
mactivos_margen	0.00851691118001824	0.0195309991008893	0.0293255131964809
PC5	0.00624665946823656	0.0164298546756047	0.0249266862170088
PC11	0.00623802333497329	0.0454167638962536	0.0571847507331378
Master_fechaalta	0.00600758155376071	0.0113877302944903	0.0219941348973607
mtransferencias_recibidas	0.00572817850584843	0.0146939644526768	0.0146627565982405
PC19	0.00502066848886534	0.0143637655145189	0.0219941348973607
PC7	0.00341991228105757	0.00258931373021027	0.00586510263929619
cprestamos_personales	0.00320624155350556	0.0023508243076909	0.00293255131964809
Visa_mpagominimo	0.00314666886654042	0.00879886338287025	0.0117302052785924
ccomisiones_mantenimiento	0.00280362797128314	0.010203102507222	0.00439882697947214
Visa_fechaalta	0.00265109588714615	0.00663871890854729	0.0102639296187683
ccomisiones_otras	0.0022463127352363	0.0194874342883448	0.0190615835777126
cproductos	0.00219136856553765	0.0409437746944068	0.0263929618768328
ccallcenter_transacciones	0.00202189912081357	0.00623535342624405	0.00293255131964809
PC22	0.0018521082215066	0.00592302723169409	0.00879765395894428
mrentabilidad	0.00177746061094691	0.00267175176010221	0.00586510263929619
mtarjeta_master_consumo	0.00177594067597537	0.00345938122997764	0.00146627565982405
PC13	0.00168779711639327	0.00431660269527676	0.00733137829912024
ctarjeta_master	0.00166941646406743	0.00197326259897171	0.00439882697947214
mcomisiones_mantenimiento	0.00157954534915537	0.00677175914377941	0.00586510263929619
cliente_edad	0.00140070241076787	0.00912548777230661	0.0175953079178886
PC15	0.00137047769453537	0.012038744980412	0.0131964809384164
mcomisiones	0.00134248950240135	0.0131137905084338	0.0175953079178886
Master_Fvencimiento	0.00131015963588465	0.00884265160470987	0.0146627565982405
PC2	0.00126099572664111	0.00623122035428469	0.00879765395894428
PC16	0.0012152047279693	0.00234937214727275	0.00733137829912024
Master_status	0.00108212259851836	0.00722248739664388	0.00439882697947214
PC23	0.00105931806551467	0.0377732616829936	0.0337243401759531
Master_mfinanciacion_limite	0.000839352289401979	0.00575480003248371	0.0117302052785924
PC17	0.000826782332755619	0.00664151152473604	0.0131964809384164
numero_de_cliente	0.00078867031861854	0.0035916395326769	0.00879765395894428
PC14	0.000732804233431671	0.00636571274993496	0.00879765395894428
Visa_mfinanciacion_limite	0.000726575239078083	0.00683498397429274	0.00879765395894428
PC21	0.000611247324104813	0.00205212608014205	0.00586510263929619
Master_mpagominimo	0.000594373961022093	0.00316012447919104	0.00586510263929619
thomebanking	0.000527675025266556	0.0015418592501334	0.00293255131964809
Visa_Fvencimiento	0.000479049689564598	0.00605684939945906	0.00879765395894428
Visa_mlimitecompra	0.000446810755576288	0.00329215937259521	0.00733137829912024
PC18	0.000428700882429433	0.00750565867818327	0.0117302052785924
PC8	0.000401181669392966	0.00174728409697795	0.00439882697947214
cliente_antiguedad	0.000398250544693023	0.00446494646722323	0.00733137829912024
Visa_mconsumototal	0.00022141690572325	0.00897680888641749	0.0146627565982405
Visa_cconsumos	0.000216646013989234	0.00257669110503711	0.00586510263929619
PC6	0.000173919080605188	0.00545587839563977	0.00879765395894428
chomebanking_transacciones	0.00015336432474429	0.0020529080126749	0.00586510263929619
Master_mlimitecompra	0.000143587783485496	0.000923015502706101	0.00293255131964809
Master_fultimo_cierre	0.000136554318034912	0.00100020341416319	0.00293255131964809
PC20	0.000135527658289402	0.00129387493257228	0.00293255131964809
mttarjeta_visa_debitos_automaticos	0.000100424891284931	0.0037848885729385	0.00879765395894428
PC10	7.20078599403102e-05	0.00540996778549669	0.00879765395894428
Master_cconsumos	5.25376985655286e-05	0.000578630074309283	0.00146627565982405
Master_msaldototal	4.31571077894621e-05	0.000400572866114496	0.00146627565982405
PC9	7.68048432849339e-07	0.000413418900582752	0.00146627565982405
