Feature	Gain	Cover	Frequency
PC3	0.25235437813643	0.133093645113834	0.075462962962963
PC1	0.181227974295839	0.0958457325866067	0.0712962962962963
Visa_msaldototal	0.17022719924056	0.0408733870452875	0.0296296296296296
PC11	0.0415179183538699	0.0647890937547802	0.0546296296296296
PC18	0.0337901110027304	0.043805208077289	0.0425925925925926
PC4	0.0292420380998086	0.0250315124131719	0.0268518518518519
PC12	0.0276481211945063	0.0376866128593505	0.0324074074074074
foto_mes	0.0208663892060925	0.0354142271783358	0.0365740740740741
PC19	0.0187338189586024	0.0269137903186308	0.0268518518518519
Master_fechaalta	0.0163434764643422	0.0215967619266591	0.0310185185185185
PC7	0.0154988194184818	0.0335063207311378	0.0319444444444444
Visa_fechaalta	0.0123551846820952	0.0329437549572033	0.0351851851851852
PC2	0.0122383066100526	0.0101750219043395	0.0175925925925926
PC6	0.0112081606734316	0.0304215698782525	0.0328703703703704
PC5	0.0109403333214058	0.0213809703064069	0.0240740740740741
PC8	0.0107901530943216	0.024174025581632	0.024537037037037
PC9	0.0107199530149663	0.0187264003114411	0.0259259259259259
PC23	0.0105659135722671	0.0286660322989044	0.0388888888888889
PC15	0.00987832680511334	0.0312228562277023	0.0296296296296296
Visa_mpagominimo	0.0089611163743314	0.017086243759266	0.0212962962962963
Master_Fvencimiento	0.00887540929067737	0.0243341426132635	0.025462962962963
Master_mpagominimo	0.0077122991373145	0.00911247167932194	0.00787037037037037
PC21	0.00723406423808422	0.0143598717759531	0.0203703703703704
PC20	0.00657782815393976	0.0124510537800749	0.0162037037037037
PC13	0.00591490709065661	0.0141415558670481	0.0166666666666667
numero_de_cliente	0.00545240026233969	0.0124449534158306	0.0217592592592593
PC16	0.00514485101693169	0.0147510313384476	0.0166666666666667
PC22	0.00510811411884027	0.0117558226136085	0.0157407407407407
PC17	0.00482763375874631	0.0105413592950812	0.0180555555555556
Visa_mlimitecompra	0.00470452741571896	0.017042769899134	0.0111111111111111
PC14	0.00465538328089642	0.0232844241888979	0.012962962962963
Visa_mfinanciacion_limite	0.00412311566028349	0.00699312099788496	0.0125
Master_mfinanciacion_limite	0.00394050945577449	0.0080289908942247	0.0152777777777778
Master_mlimitecompra	0.00344076883816673	0.00886197109009337	0.0106481481481481
Visa_mconsumototal	0.00329892398758567	0.00742870102875631	0.0143518518518519
Master_msaldototal	0.00304428106404463	0.00213870356110866	0.00509259259259259
Visa_cconsumos	0.00263576432856525	0.00483173389846547	0.00925925925925926
Visa_Fvencimiento	0.00254006815890933	0.00633926011767322	0.0115740740740741
Visa_fultimo_cierre	0.00245622365817388	0.00620410549605305	0.0101851851851852
PC10	0.00154944517501385	0.00508398746592517	0.00925925925925926
Master_fultimo_cierre	0.000750451424966478	0.00141675700639981	0.00416666666666667
Master_mconsumototal	0.000384922344662831	0.00162010248121097	0.00324074074074074
Master_cconsumos	0.000360019303896601	0.00113372114120145	0.00138888888888889
Visa_status	9.64622350438065e-05	0.00212120883836198	0.000462962962962963
Master_status	6.39340815196631e-05	0.000225012285747933	0.000462962962962963
