fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241112.212538	45	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	27	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.154596327384011	0.702882144541826	1417	1411	2631	1	10476276.80798	10476276.80798	1
20241112.212650	45	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	262	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.203844974735345	0.766238298995319	1275	686	3385	1	10100760.5985037	10100760.5985037	2
20241112.212753	45	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	393	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0938781666538349	0.609920130475281	792	1703	3498	1	10267496.2593516	10267496.2593516	3
20241112.212844	45	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	226	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0670463394264548	0.651274005606536	663	516	2717	1	10209299.2518703	10209299.2518703	4
20241112.212934	45	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	72	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.182210397469407	0.787143593095445	644	395	2842	1	9538638.40399002	9538638.40399002	5
20241112.213026	45	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	347	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.22765059474479	0.849027676303582	1066	810	3201	1	9469219.45137157	9469219.45137157	6
20241112.213126	45	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	876	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0320905838807443	0.638449106754832	1304	1128	2933	1	10354316.7082294	10354316.7082294	7
20241112.213219	45	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	237	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.12851118360188	0.530256377071684	1603	357	2559	1	9836117.20698254	9836117.20698254	8
20241112.213307	45	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	79	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0392104781298617	0.739338602610498	306	1339	2600	1	10484887.7805486	10484887.7805486	9
20241112.213404	45	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	42	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.246010977315084	0.814351460246859	1931	1235	2554	1	10332014.9625935	10332014.9625935	10
