Feature	Gain	Cover	Frequency
PC3	0.264749104151504	0.191019803211029	0.0990062569009937
Visa_msaldototal	0.189878218536908	0.0631407575057109	0.0320206109679794
PC1	0.183660231721681	0.127434945563742	0.0798675009201325
PC11	0.036553828268158	0.0542455683161468	0.0574162679425837
Visa_mconsumototal	0.0333633467579126	0.00911573615218041	0.0117776959882223
PC12	0.0320186997729903	0.0341227076703644	0.0390136179609864
PC18	0.0307596889142857	0.0380963449294371	0.0397497239602503
PC4	0.0255085936218463	0.0335699396403001	0.0250276039749724
foto_mes	0.0202947071032951	0.0367767867626183	0.0357011409642989
PC2	0.0164441204357822	0.0173244148459671	0.0220831799779168
PC19	0.0145606642102919	0.0258488829019635	0.0382775119617225
Master_fechaalta	0.0143843267941224	0.0214716269372972	0.0327567169672433
PC5	0.0127716671878691	0.0238940565633953	0.0239234449760766
PC9	0.012612730451538	0.0183651122854258	0.0272359219727641
PC7	0.0123957184023752	0.019948602582538	0.0268678689731321
PC6	0.00918757587257796	0.0341444685773016	0.0331247699668752
Visa_fechaalta	0.00891558238700752	0.0219550128606277	0.0375414059624586
Visa_mpagominimo	0.00766939621364232	0.0278174763449206	0.0283400809716599
PC23	0.00689117331944772	0.0309561711762816	0.0382775119617225
PC8	0.00625473172093725	0.00943350688425251	0.0184026499815973
Master_mpagominimo	0.0058130237334443	0.00904693479178553	0.00993743099006257
PC15	0.00498110344741724	0.0286351671902095	0.027972027972028
Visa_cconsumos	0.00473200908457698	0.00986841756905253	0.0158262789841737
Master_Fvencimiento	0.00428967915543481	0.00758096022444411	0.0176665439823335
PC13	0.00419444532466432	0.0123215925895674	0.0165623849834376
PC14	0.00362244239364812	0.00741732640304814	0.013617960986382
PC20	0.00358225484502585	0.00656188704572527	0.0128818549871181
Master_msaldototal	0.00354991676734696	0.00349219854405526	0.00588884799411115
PC21	0.00350774026688465	0.00499312037638375	0.00956937799043062
PC17	0.00320128386702443	0.00751560918053378	0.0121457489878543
Master_mfinanciacion_limite	0.00292479683816991	0.00834932179246879	0.0187707029812293
PC22	0.00281858990440297	0.00578679565247825	0.0114096429885904
PC16	0.00261861432396096	0.00726414601575387	0.0143540669856459
Master_mlimitecompra	0.00218643654217353	0.00473858267216217	0.00699300699300699
Visa_mfinanciacion_limite	0.00209608285528713	0.00585009700342746	0.00920132499079867
Visa_mlimitecompra	0.00205994039832498	0.00932268681815469	0.00736105999263894
numero_de_cliente	0.0015405181217671	0.00938605649220261	0.0143540669856459
Visa_Fvencimiento	0.00133668760836394	0.0035334315341231	0.00883327199116673
PC10	0.000978415965434789	0.00401049757082347	0.00809716599190283
Visa_fultimo_cierre	0.000433005567382809	0.00113624729299613	0.00257637099742363
Master_fultimo_cierre	0.000232907430346163	0.00159302136938142	0.00404858299595142
Master_cconsumos	0.000206363382807624	0.000569370543049411	0.00147221199852779
Master_mconsumototal	0.000161852240529408	0.00219508451516067	0.00368052999631947
Visa_status	5.7784091407638e-05	0.000149525101513606	0.000368052999631947
