fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241110.204247	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	215	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.238445140074563	0.573493615104321	1458	586	3032	1	12136219.4513716	12136219.4513716	22
20241110.204343	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	103	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.28236867004322	0.689911536871269	431	271	2841	1	11929668.3291771	11929668.3291771	23
20241110.204435	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0892884205138756	0.582752067613422	37	642	2759	1	12261254.3640898	12261254.3640898	24
20241110.204537	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	192	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.191462322752607	0.583049586578532	1375	501	2198	1	12137072.319202	12137072.319202	25
20241110.204629	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.2525663182626	0.518700971033751	653	1176	2411	1	11960715.7107232	11960715.7107232	26
20241110.204721	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	15	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.245375506689424	0.515827265285717	1094	1676	2590	1	11959376.5586035	11959376.5586035	27
20241110.204810	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.294022626742056	0.667606423081955	715	1974	2481	1	11942536.159601	11942536.159601	28
20241110.204910	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.243451894023519	0.531138655827297	1564	155	3182	1	12147067.3316708	12147067.3316708	29
20241110.205004	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0814920301665324	0.506793355106054	111	1068	2370	1	11507057.3566085	11507057.3566085	30
20241110.205102	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	122	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.203821759406749	0.82630942281493	1202	367	2874	1	11459596.0099751	11459596.0099751	31
20241110.205153	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.2345343138288	0.734381864525803	740	1109	2473	1	11598157.1072319	11598157.1072319	32
20241110.205256	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	204	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.194059973633912	0.706847209346252	1118	186	2749	1	12318486.2842893	12318486.2842893	33
20241110.205347	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	27	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.083700234230498	0.891820800744073	1105	1397	3050	1	11582468.8279302	11582468.8279302	34
20241110.205438	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.142715604703269	0.89685421452077	838	1125	2650	1	11835635.9102244	11835635.9102244	35
20241110.205533	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	57	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.288994545229419	0.710786647932516	1135	402	2765	1	10500112.2194514	10500112.2194514	36
20241110.205632	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	70	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.192037061167948	0.536403392255765	1436	308	2160	1	11466134.6633416	11466134.6633416	37
20241110.205727	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0708199389579024	0.680907319030241	601	550	2755	1	12144875.3117207	12144875.3117207	38
20241110.210003	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1110	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0218693627672334	0.875195732937826	536	119	2515	1	12298990.0249377	12298990.0249377	39
20241110.210054	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	10	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.250760144072163	0.852807205065223	1504	1302	2096	1	11780528.6783042	11780528.6783042	40
20241110.210147	566	60503	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999721	0.0621412173049928	0.846179391514257	1021	854	2726	1	11554069.8254364	11554069.8254364	41
